Competitor,Visibility,Visibility Change,Pages Cited,Pages Cited Change,Mentions,Mentions Change
"""Pets Best Insurance""",51,-1,40,-6,1388,-21
"""Lemonade""",41,1,38,2,1112,31
"""Spot Pet Insurance""",40,2,59,7,1086,57
"""Figo Pet Insurance""",29,2,18,-2,785,64
"""Trupanion""",27,-1,57,-8,723,-19
"""pumpkin.care""",25,3,37,4,667,67
"""Healthy Paws""",21,0,0,0,570,-4
"""ASPCA Pet Health Insurance""",9,1,49,-3,239,25
"""Fetch by the Dodo""",3,-1,46,-2,68,-14
"""Embrace Pet Insurance""",2,0,47,-6,66,-3
"""MetLife Pet Insurance""",0,0,70,4,12,4